Time,BTC-25MAR22,BTC-31DEC21,BTC-PERPETUAL,spread,moving_average,moving_std_dev,upper_band,lower_band,long_entry,long_exit,short_entry,short_exit,positions_long,positions_short,long_sl,positions_long_sl,short_sl,positions_short_sl
1636345800000,69025.0,66856.5,65260.5,1673.7400000000016,1496.9550999999974,85.36867275683154,1676.2293127893436,1317.6808872106512,False,True,False,False,0.0,,False,1.0,False,
1636347600000,69328.0,67120.0,65489.0,1702.390000000003,1499.769699999997,89.75287835994807,1688.250744555888,1311.288655444106,False,True,True,False,0.0,-1.0,False,1.0,False,
1636349400000,69342.0,67322.5,65523.5,1461.809999999994,1498.9755999999973,89.91262680983485,1687.7921163006504,1310.1590836993441,False,False,False,True,,0.0,False,,False,1.0
1636351200000,69937.5,67854.5,66086.0,1534.7649999999958,1499.866599999997,90.04468069167122,1688.9604294525066,1310.7727705474877,False,True,False,False,0.0,,False,1.0,False,1.0
1636353000000,70024.5,67779.0,65996.0,1692.7699999999932,1503.7035999999973,94.08730912191992,1701.286949156029,1306.1202508439656,False,True,False,False,0.0,,False,1.0,False,
1636354800000,69779.0,67752.0,65937.5,1464.50499999999,1503.835499999997,94.02640442362107,1701.2909492896013,1306.3800507103927,False,False,False,True,,0.0,False,,False,1.0
1636356600000,69924.0,67756.5,66032.5,1633.0600000000013,1506.2702999999972,95.7839632119565,1707.4166227451058,1305.1239772548886,False,True,False,False,0.0,,False,1.0,False,
1636358400000,69643.5,67513.5,65841.5,1611.680000000004,1508.694699999997,96.90318820399892,1712.1913952283949,1305.1980047715992,False,True,False,False,0.0,,False,1.0,False,1.0
1636360200000,70189.0,67976.0,66322.5,1700.4150000000009,1512.6779999999976,100.61333159629356,1723.965996352214,1301.3900036477812,False,True,False,False,0.0,,False,1.0,False,
1636362000000,70049.0,67920.5,66155.0,1581.1949999999888,1514.420599999997,101.03801921648795,1726.6004403546217,1302.2407596453722,False,True,False,False,0.0,,False,1.0,False,1.0
1636363800000,70125.5,67999.5,66158.5,1555.2899999999972,1516.7116999999969,100.6310363412796,1728.0368763166841,1305.3865236833096,False,True,False,False,0.0,,False,1.0,False,1.0
1636365600000,69851.0,67720.0,65923.0,1573.930000000004,1518.2213999999972,100.91721906657024,1730.1475600397946,1306.2952399601998,False,True,False,False,0.0,,False,1.0,False,1.0
1636367400000,70050.0,67955.5,66102.0,1519.9149999999972,1520.0381999999972,100.0939068909869,1730.2354044710696,1309.8409955289249,False,False,False,True,,0.0,False,,False,1.0
1636369200000,69813.0,67713.0,65873.0,1529.6000000000022,1520.9710999999973,99.958508618334,1730.8839680984986,1311.058231901496,False,True,False,False,0.0,,False,1.0,False,1.0
1636371000000,70000.0,67885.0,66093.5,1559.6349999999948,1522.144199999997,100.06323650759553,1732.2769966659475,1312.0114033340465,False,True,False,False,0.0,,False,1.0,False,1.0
1636372800000,69830.5,67720.0,65954.0,1563.0400000000045,1523.3372999999972,100.19056314383646,1733.7374826020537,1312.9371173979407,False,True,False,False,0.0,,False,1.0,False,1.0
1636374600000,69830.5,67720.0,65954.0,1563.0400000000045,1525.3801999999973,99.93241489069099,1735.2382712704484,1315.5221287295462,False,True,False,False,0.0,,False,1.0,False,1.0
1636376400000,69830.5,67713.0,65901.0,1555.7800000000025,1524.282799999997,99.27604109695957,1732.7624863036121,1315.8031136963818,False,True,False,False,0.0,,False,1.0,False,1.0
1636378200000,69797.0,67692.5,65552.0,1440.944999999996,1526.852699999997,95.2625500769357,1726.904055161562,1326.801344838432,False,False,False,True,,0.0,False,,False,1.0
1636380000000,70858.5,67692.5,65577.0,2510.194999999996,1548.6177999999973,167.63311155301622,1900.6473342613313,1196.5882657386633,False,True,True,False,0.0,-1.0,False,1.0,True,0.0
1636381800000,70858.5,67092.0,65424.0,3249.4199999999946,1584.4226999999973,292.68534020625174,2199.061914433126,969.7834855668686,False,True,True,False,0.0,-1.0,False,1.0,True,0.0
1636383600000,74306.0,69000.0,65915.5,4349.805,1641.5997999999975,488.0764366262327,2666.5603169150863,616.6392830849088,False,True,True,False,0.0,-1.0,False,1.0,True,0.0
1636385400000,74208.0,76385.0,66635.5,-5199.345000000005,1506.9342999999976,1083.7661555682207,3782.8432266932614,-768.9746266932661,True,False,False,True,1.0,0.0,True,0.0,False,1.0
1636387200000,70858.5,75906.0,66163.0,-8067.830000000002,1316.361299999997,1734.470373631363,4958.74908462586,-2326.026484625865,True,False,False,True,1.0,0.0,True,0.0,False,1.0
1636389000000,70858.5,73291.0,66106.5,-4659.695000000007,1193.4069999999974,1929.0416388175377,5244.394441516826,-2857.580441516832,True,False,False,True,1.0,0.0,False,0.0,False,1.0
1636390800000,70858.5,73291.0,66207.5,-4628.385000000006,1070.8882999999973,2096.591490893339,5473.73043087601,-3331.953830876015,True,False,False,True,1.0,0.0,False,,False,1.0
1636392600000,70858.5,73291.0,66152.5,-4645.435000000005,948.4077999999973,2245.8540298876123,5664.701262763983,-3767.885662763989,True,False,False,True,1.0,0.0,False,,False,1.0
1636394400000,70858.5,73291.0,65991.5,-4695.345000000005,825.1660999999974,2381.788932463887,5826.92285817416,-4176.590658174165,True,False,False,True,1.0,0.0,False,,False,1.0
1636396200000,70858.5,67756.5,66122.5,2595.459999999999,847.7531999999976,2393.3182344069237,5873.721492254537,-4178.2150922545425,False,True,False,False,0.0,,False,1.0,False,
1636398000000,70858.5,67756.5,66229.0,2628.475000000002,869.9390999999977,2404.7834212778425,5919.984284683467,-4180.106084683472,False,True,False,False,0.0,,False,1.0,False,
1636399800000,71919.5,67750.0,66120.0,3664.2000000000007,913.4846999999978,2435.697944820433,6028.450384122907,-4201.480984122911,False,True,False,False,0.0,,False,1.0,False,
1636401600000,71919.5,67750.0,66207.0,3691.1699999999983,956.4301999999977,2465.7842322585893,6134.577087743036,-4221.71668774304,False,True,False,False,0.0,,False,1.0,False,
1636403400000,71919.5,67750.0,66284.0,3715.040000000001,1000.2291999999978,2495.363613286379,6240.492787901394,-4240.034387901398,False,True,False,False,0.0,,False,1.0,False,
1636405200000,71919.5,67750.0,66589.5,3809.744999999999,1046.7928999999976,2526.061827037176,6351.522736778067,-4257.936936778072,False,True,False,False,0.0,,False,1.0,False,
1636407000000,71919.5,67750.0,66452.0,3767.119999999999,1094.837199999998,2554.9152341520494,6460.159191719302,-4270.484791719306,False,True,False,False,0.0,,False,1.0,False,
1636408800000,71919.5,67829.0,66353.0,3632.939999999995,1138.0329999999976,2579.580539478886,6555.152132905658,-4279.086132905662,False,True,False,False,0.0,,False,1.0,False,
1636410600000,71919.5,68267.5,66686.5,3161.889999999996,1172.2779999999977,2595.120281338085,6622.030590809976,-4277.474590809981,False,True,False,False,0.0,,False,1.0,False,
1636412400000,71919.5,68750.0,67591.0,2810.209999999999,1199.1798999999978,2605.170277535931,6670.0374828254535,-4271.677682825457,False,True,False,False,0.0,,False,1.0,False,1.0
1636414200000,71919.5,68750.0,67566.5,2802.6150000000016,1223.9090999999978,2614.5763043108886,6714.519339052865,-4266.701139052869,False,True,False,False,0.0,,False,1.0,False,1.0
1636416000000,71919.5,68750.0,67594.0,2811.1399999999994,1248.264999999998,2623.744060496727,6758.127527043125,-4261.597527043128,False,True,False,False,0.0,,False,1.0,False,1.0
1636417800000,71919.5,68750.0,67682.5,2838.5750000000007,1274.6648999999982,2633.1434609663993,6804.266168029437,-4254.936368029441,False,True,False,False,0.0,,False,1.0,False,1.0
1636419600000,71919.5,68750.0,67451.5,2766.965,1300.262999999998,2641.458566581028,6847.325989820158,-4246.7999898201615,False,True,False,False,0.0,,False,1.0,False,1.0
1636421400000,71919.5,68750.0,67576.5,2805.715,1326.3054999999983,2649.909501166736,6891.115452450144,-4238.504452450147,False,True,False,False,0.0,,False,1.0,False,1.0
1636423200000,71919.5,68750.0,67750.0,2859.5,1351.8043999999986,2658.565213510171,6934.791348371358,-4231.18254837136,False,True,False,False,0.0,,False,1.0,False,1.0
1636425000000,71919.5,68750.0,67674.5,2836.095000000001,1378.3834999999985,2666.78032480893,6978.622182098752,-4221.855182098754,False,True,False,False,0.0,,False,1.0,False,1.0
1636426800000,71919.5,67750.0,67639.0,4135.09,1430.9315999999985,2695.115742647953,7090.6746595607,-4228.811459560704,False,True,False,False,0.0,,False,1.0,False,
1636428600000,71919.5,67750.0,68407.0,4373.169999999998,1495.0526999999988,2726.664952056577,7221.0490993188105,-4230.943699318814,False,True,False,False,0.0,,False,1.0,False,
1636430400000,71919.5,67750.0,68412.0,4374.720000000001,1552.6581999999987,2756.9095015451576,7342.16815324483,-4236.851753244832,False,True,False,False,0.0,,False,1.0,False,
1636432200000,71919.5,67750.0,68331.0,4349.610000000001,1606.2368999999985,2785.137037399193,7455.024678538304,-4242.550878538308,False,True,False,False,0.0,,False,1.0,False,
1636434000000,71919.5,67750.0,67909.5,4218.945,1655.5855999999987,2809.5166341843974,7555.570531787233,-4244.399331787236,False,True,False,False,0.0,,False,1.0,False,
1636435800000,72032.0,69942.0,68193.0,1547.809999999994,1653.0669999999984,2809.5564723708303,7553.135591978742,-4247.001591978746,False,False,False,True,,0.0,False,,False,1.0
1636437600000,71846.0,69837.0,68072.0,1461.8499999999985,1648.2561999999984,2809.67622869113,7548.576280251371,-4252.063880251375,False,False,False,True,,0.0,False,,False,1.0
1636439400000,71894.0,69868.5,68130.0,1486.5649999999987,1648.7512999999983,2809.64488494721,7549.005558389139,-4251.502958389143,False,False,False,True,,0.0,False,,False,1.0
1636441200000,72030.5,69858.5,68021.0,1602.374999999989,1650.1034999999983,2809.6051761927406,7550.274370004754,-4250.067370004757,False,False,False,True,,0.0,False,,False,1.0
1636443000000,71983.0,69586.0,67952.0,1890.4599999999955,1654.0572999999983,2809.8055356071877,7554.648924775093,-4246.534324775096,False,True,False,False,0.0,,False,1.0,False,1.0
1636444800000,71841.5,69656.5,67978.0,1664.6650000000009,1658.0604999999987,2809.6725476172373,7558.372849996197,-4242.2518499962,False,True,False,False,0.0,,False,1.0,False,1.0
1636446600000,71934.0,69909.0,68183.0,1489.9399999999914,1655.1980999999985,2809.7714382595395,7555.718120345032,-4245.321920345034,False,False,False,True,,0.0,False,,False,1.0
1636448400000,71705.0,69691.0,67989.5,1486.5349999999926,1652.695199999998,2809.8667316010083,7553.415336362116,-4248.02493636212,False,False,False,True,,0.0,False,,False,1.0
1636450200000,72023.0,69915.5,68310.5,1609.9499999999935,1650.8858999999982,2809.864502917501,7551.601356126751,-4249.829556126754,False,False,False,True,,0.0,False,,False,1.0
1636452000000,71942.0,69768.0,68084.0,1651.9599999999991,1652.3011999999983,2809.8465056903688,7552.978861949773,-4248.376461949777,False,False,False,True,,0.0,False,1.0,False,1.0
1636453800000,71617.5,69600.5,67940.5,1502.4000000000015,1651.2433999999982,2809.8937271692594,7552.020227055444,-4249.533427055447,False,False,False,True,,0.0,False,,False,1.0
1636455600000,71455.0,69470.5,67815.0,1471.294999999991,1649.190699999998,2809.988846398269,7550.167277436363,-4251.785877436367,False,False,False,True,,0.0,False,,False,1.0
1636457400000,71401.5,69344.0,67700.0,1547.8600000000006,1649.7495999999983,2809.965388024697,7550.676914851862,-4251.177714851866,False,False,False,True,,0.0,False,,False,1.0
1636459200000,71374.0,69285.5,67619.0,1571.8849999999948,1650.595299999998,2809.9348522554424,7551.4584897364275,-4250.267889736431,False,False,False,True,,0.0,False,,False,1.0
1636461000000,71387.0,69270.0,67651.5,1615.265000000003,1651.707899999998,2809.9091145954944,7552.517040650537,-4249.10124065054,False,False,False,True,,0.0,False,1.0,False,1.0
1636462800000,71498.5,69491.0,67795.5,1481.8949999999932,1650.084999999998,2809.98480319934,7551.053086718613,-4250.883086718616,False,False,False,True,,0.0,False,,False,1.0
1636464600000,71872.5,69647.0,68164.0,1765.7699999999932,1654.1395999999977,2810.0029025858075,7555.145695430194,-4246.8664954301985,False,True,False,False,0.0,,False,1.0,False,1.0
1636466400000,71643.0,69517.5,67856.5,1610.5899999999965,1655.2357999999977,2809.974439525401,7556.18212300334,-4245.710523003345,False,False,False,True,,0.0,False,1.0,False,1.0
1636468200000,71184.5,69093.0,67367.0,1556.4399999999987,1657.5456999999979,2809.8421571971376,7558.214230113987,-4243.122830113991,False,False,False,True,,0.0,False,,False,1.0
1636470000000,70918.5,68830.5,67136.0,1562.704999999998,1638.5958999999973,2807.168170199702,7533.649057419372,-4256.457257419377,False,False,False,True,,0.0,False,,False,1.0
1636471800000,70600.0,68531.0,66832.0,1542.3099999999977,1604.4536999999975,2797.541544094112,7479.290942597632,-4270.383542597638,False,False,False,True,,0.0,False,,False,1.0
1636473600000,70572.5,68475.0,66834.0,1588.7900000000009,1549.2333999999976,2769.353138094329,7364.8749899980885,-4266.408189998094,False,True,False,False,0.0,,False,1.0,False,
1636475400000,70512.0,68345.0,66758.0,1675.0300000000025,1686.720899999998,2592.4690661999753,7130.905939019945,-3757.46413901995,False,False,False,True,,0.0,False,1.0,False,1.0
1636477200000,70369.5,68227.0,66608.5,1640.7649999999885,1880.8927999999974,2177.2928775063688,6453.207842763371,-2691.422242763377,False,False,False,True,,0.0,False,1.0,False,1.0
1636479000000,70621.0,68650.0,66884.0,1423.5400000000009,2002.5574999999976,1963.8538605819692,6126.650607222133,-2121.535607222138,False,False,False,True,,0.0,False,,False,1.0
1636480800000,70612.0,68503.5,66832.5,1590.4899999999943,2126.9349999999977,1716.7024058443064,5732.010052273041,-1478.140052273046,False,False,False,True,,0.0,False,1.0,False,1.0
